127.0.0.1 - - [15/Sep/2022:11:41:04 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Sep/2022:11:41:04 +0900] "GET /jwbook/index.jsp HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [15/Sep/2022:11:41:04 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Sep/2022:11:41:13 +0900] "GET /jwbook/book_c.jsp HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [15/Sep/2022:11:41:15 +0900] "GET /jwbook/book_r.jsp HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [15/Sep/2022:11:41:18 +0900] "GET /jwbook/book_c.jsp HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [15/Sep/2022:11:41:27 +0900] "POST /jwbook/book_dao.jsp HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [15/Sep/2022:11:41:31 +0900] "GET /jwbook/index.jsp HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [15/Sep/2022:11:41:32 +0900] "GET /jwbook/book_r.jsp HTTP/1.1" 200 1387
0:0:0:0:0:0:0:1 - - [15/Sep/2022:11:41:35 +0900] "GET /jwbook/book_u.jsp HTTP/1.1" 200 2207
0:0:0:0:0:0:0:1 - - [15/Sep/2022:11:41:37 +0900] "GET /jwbook/book_u2.jsp?book_id=18&title=%EC%9C%A0%EC%9B%90%EA%B7%9C&publisher=%EB%9D%BC%EB%A7%88%EB%A7%88%EB%A7%88&year=1234&price=12314 HTTP/1.1" 200 831
0:0:0:0:0:0:0:1 - - [15/Sep/2022:11:41:40 +0900] "POST /jwbook/book_dao.jsp HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [15/Sep/2022:11:41:41 +0900] "GET /jwbook/index.jsp HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [15/Sep/2022:11:41:42 +0900] "GET /jwbook/book_r.jsp HTTP/1.1" 200 1383
0:0:0:0:0:0:0:1 - - [15/Sep/2022:11:41:44 +0900] "GET /jwbook/book_d.jsp HTTP/1.1" 200 1771
0:0:0:0:0:0:0:1 - - [15/Sep/2022:11:41:45 +0900] "GET /jwbook/book_dao.jsp?actionType=D&book_id=18 HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [15/Sep/2022:11:41:47 +0900] "GET /jwbook/index.jsp HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [15/Sep/2022:11:41:47 +0900] "GET /jwbook/book_r.jsp HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [15/Sep/2022:11:41:49 +0900] "GET /jwbook/index.jsp HTTP/1.1" 200 430
