127.0.0.1 - - [01/Oct/2022:21:51:14 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [01/Oct/2022:21:51:15 +0900] "GET /jwbook/index.jsp HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [01/Oct/2022:21:51:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Oct/2022:21:51:17 +0900] "GET /jwbook/book_c.jsp HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [01/Oct/2022:21:51:20 +0900] "GET /jwbook/book_r.jsp HTTP/1.1" 200 24089
0:0:0:0:0:0:0:1 - - [01/Oct/2022:21:51:22 +0900] "GET /jwbook/book_c.jsp HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [01/Oct/2022:21:52:33 +0900] "GET /jwbook/book_c.jsp HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [01/Oct/2022:21:53:27 +0900] "POST /jwbook/book_dao.jsp HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [01/Oct/2022:21:53:35 +0900] "GET /jwbook/index.jsp HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [01/Oct/2022:21:53:36 +0900] "GET /jwbook/book_c.jsp HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [01/Oct/2022:21:53:43 +0900] "POST /jwbook/book_dao.jsp HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [01/Oct/2022:21:54:07 +0900] "GET /jwbook/index.jsp HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [01/Oct/2022:21:54:13 +0900] "GET /jwbook/join.jsp HTTP/1.1" 200 879
0:0:0:0:0:0:0:1 - - [01/Oct/2022:21:54:54 +0900] "POST /jwbook/memberdao.jsp HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [01/Oct/2022:21:57:18 +0900] "GET /jwbook/index.jsp HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [01/Oct/2022:21:57:23 +0900] "GET /jwbook/join.jsp HTTP/1.1" 200 879
0:0:0:0:0:0:0:1 - - [01/Oct/2022:21:57:48 +0900] "POST /jwbook/memberdao.jsp HTTP/1.1" 500 6808
0:0:0:0:0:0:0:1 - - [01/Oct/2022:21:58:19 +0900] "POST /jwbook/memberdao.jsp HTTP/1.1" 500 6864
0:0:0:0:0:0:0:1 - - [01/Oct/2022:21:59:10 +0900] "POST /jwbook/memberdao.jsp HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [01/Oct/2022:21:59:28 +0900] "GET /jwbook/index.jsp HTTP/1.1" 200 837
